sr,stop_id,stop_name,stop_desc,source,rank,stop_lat,stop_lon,po_code
947,PO_947,Petamadaram -501501,501501,postoffice,7,17.183,77.95368,184559
948,PO_948,Pomal -509202,509202,postoffice,7,16.95422,77.99757,277240
949,PO_949,Pomal -509202,509202,postoffice,7,16.96056,78.01452,277239
950,PO_950,Raikal -509202,509202,postoffice,7,17.00174,78.19429,253443
951,PO_951,Rapole -501501,501501,postoffice,7,17.13951,77.95424,229266
952,PO_952,Reddipalem -509325,509325,postoffice,7,17.19211,78.27821,242853
953,PO_953,Regad Doswada -501501,501501,postoffice,7,17.21896,78.08402,184355
954,PO_954,Regad Doswada -501501,501501,postoffice,7,17.21896,78.08402,184375
955,PO_955,Regadighanapur -501503,501503,postoffice,7,17.2683,78.06177,227127
956,PO_956,Sardarnagar -509217,509217,postoffice,7,17.09315,78.16731,197427
957,PO_957,Shahabad -509217,509217,postoffice,7,17.16192,78.1319,184726
958,PO_958,Shahabad -509217,509217,postoffice,7,17.16194,78.13192,184703
959,PO_959,Shamshabad -501218,501218,postoffice,7,17.2609,78.39582,217159
960,PO_960,Shapur -509325,509325,postoffice,7,17.22653,78.33976,278413
961,PO_961,Shapur -509325,509325,postoffice,7,17.22624,78.34848,251545
962,PO_962,Shdnagar -509216,509216,postoffice,7,17.06872,78.20794,275025
963,PO_963,Shdnagar -509216,509216,postoffice,7,17.06872,78.20794,174600
964,PO_964,Syedpally -501501,501501,postoffice,7,17.10929,77.94249,229186
965,PO_965,Syedpally -501501,501501,postoffice,7,17.1093,77.94248,229144
966,PO_966,Tallapally -509217,509217,postoffice,7,17.23504,78.12515,188580
967,PO_967,Thangallapally -509207,509207,postoffice,7,17.03448,78.04644,261212
968,PO_968,Thangallapally -509207,509207,postoffice,7,17.03448,78.04644,261519
